Name of the City,Total Population,Slum Population,% of Slum Population to Total Population
Greater Mumbai,12442373,5206473,41.84
Delhi Municiapl Corporation (DMC),11034555,1617239,14.66
Bruhat Bengaluru Mahanagar Palike (BBMP),8495492,712801,8.39
Greater Hyderabad Municipal Corporation (GHMC),6993262,2287014,32.7
Ahmadabad,5633927,250681,4.45
Chennai,4646732,1342337,28.89
Surat,4501610,467434,10.38
Kolkata,4496694,1409721,31.35
Pune,3124458,690545,22.1
Jaipur,3046163,323400,10.62
Lucknow,2817105,364941,12.95
Kanpur,2768057,425008,15.35
Nagpur,2405665,859487,35.73
Indore,1994397,590257,29.6
Thane,1841488,326798,17.75
Bhopal,1798218,479699,26.68
Vadodara,1752371,84804,4.84
Greater Visakhapatnam Municipal Corporation (GVMC),1728128,770971,44.61
Pimpri Chinchwad,1727692,129099,7.47
Patna,1684297,77034,4.57
Ghaziabad,1648643,333962,20.26
Ludhiana,1618879,244163,15.08
Agra,1585704,533554,33.65
Nashik,1486053,189721,12.77
Faridabad,1414050,215053,15.21
Rajkot,1323363,189360,14.31
Meerut,1305429,544859,41.74
Kalyan-Dombivli,1247327,98157,7.87
Vasai-Virar City,1222390,35691,2.92
Srinagar,1206419,343125,28.44
Varanasi,1198491,302025,25.2
Aurangabad,1175116,221001,18.81
Allahabad,1168385,91689,7.85
Dhanbad,1162472,14275,1.23
Amritsar,1159227,329797,28.45
Vijayawada,1143232,451231,39.47
Navi Mumbai,1120547,207645,18.53
Jabalpur,1081677,483626,44.71
Haora,1077075,83509,7.75
Ranchi,1073427,74287,6.92
Jodhpur,1056191,254096,24.06
Gwalior,1054420,309793,29.38
Coimbatore,1050721,129181,12.29
Raipur,1027264,406571,39.58
Madurai,1017865,278153,27.33
Kota,1001694,319309,31.88
Total,116558745,25099576,21.53
